Newspaper Name,Issue No,Date (mm/dd/yyyy),Content,Source,Image
The Boston Newsletter,641,7/23/1716,"This is to give notice that on the 16th of July, 1716, Runaway from his Master, David Lyell, an Indian Man named Nim, he lately belonged to Mr. James Moore, he is about one and twenty years of Age and is a short broad shouldered Fellow his hair hath lately been cut off, he has a swelling on the back of his right hand, and can do something in the Carpenters trade, he hath with him two new shirts, a new wastecoat, and breeches of white course linnen, and the same of blew striped; a homespun Coat, wears a Hat, Shoes, stockings. ’Tis believed he endeavours to get on board some Vessel. Whoever takes up the said Indian in the Jerseys, and brings him to his said Master shall have forty shillings and charges and if in any other government Five pounds if they give but notice where his is, so that his Master may have him again. Direct to David Lyell in NewYork or at Amboy in New-Jersey.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),153,11/15/1722,"Runaway from William Yard of Trenton in West-Jersey, the Fifth Day of this Instant November, a Negroe Man named Fransh Manuel, but commonly called Manuel, of a pretty tall stature, and speaks indifferent English. He wears a dark coloured homespun coat, an Ozenbrig Jacket, old Leather breeches, Sheep-russet Stockings, new Shoes and an old Beveret hat. He pretended formerly to be a Freeman and had Passes; but he did belong to one John Raymond of Fairfield in New England and I bought him of said Raymond. And the said Negro boy has told since he has run away, That he found a Quantity of Ore for his Master, and that his Master had given him Free. Whoever takes up the said Negroe, secures him and brings him to Mr. William Bradford of New York, or to Mr. William Burge of Philadelphia or to his said Master at Trenton, shall have forty shillings Reward, beside all reasonable charges, paid by me, William Yard.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),190,8/1/1723,"Runaway about the 15th of June last, from Gabriel Stelle of Shrewsbury, an Negro Man named Jack, of small stature, he had on an Osenbrigs shirt and a woollen shirt, a pair of Leather Breeches, a dark homespun Jacket, a dark Cloase bodied fashionable Coat with a brown Kersey Great-Coat, an Old Beaver hat, a pair of square toed shoes with wooden heels, he is a Madagascar Negro. Whoever takes up the said Negro and brings him to his said Master or to Issac Stelle in Allens Town, shall have two Pistoles as a Reward besides Reasonable Charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),239,7/9/1724,"Second River, June 30, 1762. Run away from his Master a negro man named Frank, tall, slim, had on when he went away; a Tow shirt and Trousers, bare foot and bare legged, has a Scar on his Upper Lip, from his Nose downwards: Whoever takes up the said negro, and secures him, so that his Master may have him again shall have Forty Shillings reward, and all reasonable charges paid by John Kingsland.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),249,9/17/1724,"Runaway from the Plantation of Cornelius Van Horne on Rariton River a Malisgasco Negroe Man, named Tom, he is a black likely fellow, pretty Tall, a grave Look, has on a Homespun brown jacket, and lined the same, has brass Buttons. Whoever takes up the said Negroe and delivers him to his said M aster Cornelius Van Horne, in New York or in Amboy goal, shall have Three Pounds as a Reward plus reasonable charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),343,7/14/1726,"Notice is hereby given, That there is come to the House of John Leonards at south River Bridge, near Amboy, in the Eastern Division of the Province of New Jersey, a Negroe Man, who was forced to the said House for want of Sustenance; he is a middle sized Man, talks no English or feigns that he cannot, he calls himself PoPaw, his teeth seem to be Fil’d or Whet Sharp; he will not tell his Masters Name. Whoever Ownes the said Negroe may have him from the said Leonard on coming or sending for, paying according to Reward (if any be) or if not, according to the Laws of this Province and also reasonably for his Diet ’till fetched.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),378,4/6/1727,"There is in custody of William Nichols, Esq; High Sheriff of the County of Monmouth, a likely young Negroe man about 24 years old; he calls himself James, speaks little English and can given no account where he came from or who he belongs to. Any person that owns said Negro paying Charges may have him.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),386,6/1/1727,"Run Away the 21st Day of May last, from James Leonard of Somerset in New Jersey, a Negroe Man named Will, aged about 26 years and has with him an old Lightish color’d Great Coat and Leather Breeches, and two Shirts and old pair of black and white Stockings and ’tis supposed that he has a Gun with him, he speaks good English. Whoever takes up the said Negroe and secures him so that his said Master may have him shall be well Rewarded, by said James Leonard.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),487,5/1/1729,"These are to be given Notice that on the First Day of this Instant May, 1729, was taken up a Negroeman, about fortythree Years of Age and put into the Gaol at Burlington, for Stealing from Several persons sundry sorts of Goods; the Negroe Man saith he belongs to one Roger Mathews living in Baltimore County in Maryland, brother-in-law to one Edward Hall. N.B. The said Negroe man formerly belonged to Governeur Markham and was sold down at Maryland by Mr. Reneir, Attorney at Law.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),511,10/16/1729,"Burlington, October 20, 1729. Broke out of the Gaol at Burlington, the 20th Day of October, Two Men. One named Aristoblus Christopher, about Thirty years of age, of a Swarthy Complexion, thick Brown Hair, about five feet and eight Inches high, Shipwright by Trade. The other a Malato and goes by the name of Malato John, about Forty Years of age about six Feet and two Inches high and well set, and smooth Fac’d, short Brown Hair, he pretends to be a Housecarpenter by Trade. Whosoever takes up the said Persons or either of them and bring them to Burlington shall have Forty Shillings Reward for Each and Reasonable charges paid by Thomas Hunlock.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
