row,year,decade,name,literacy,mechanical,musical,multi_skilled,skill_count
2,1716,1710,Nim,No,Carpenter,No,No,1
6,1724,1720,Tom,No,Farming,No,No,1
11,1729,1720,Aristoblus,No,Carpenter,No,No,1
13,1730,1730,Clause,No,No,Fiddle,No,1
16,1732,1730,Clauss,No,No,Fiddle,No,1
18,1733,1730,Andrew,No,Carpenter,No,No,1
21,1734,1730,Stoffels,No,Carpenter,Violin,Yes,2
23,1734,1730,,No,No,Fiddle,No,1
24,1735,1730,William,No,Farming,No,No,1
26,1736,1730,John,Yes,Cooper,No,Yes,2
28,1737,1730,Jenney,No,Carpenter,No,No,1
30,1738,1730,Peet,Yes,No,No,No,1
31,1738,1730,Jack,Yes,No,No,No,1
33,1740,1740,James,Yes,No,No,No,1
34,1740,1740,Sim,Yes,No,No,No,1
36,1741,1740,Claus,No,No,Fiddle,No,1
46,1746,1740,Frank,No,No,Fiddle,No,1
48,1747,1740,Storde,No,Carpenter,No,No,1
49,1747,1740,Isaac,No,No,Fiddle,No,1
60,1748,1740,Jack,Yes,No,No,No,1
61,1748,1740,Robbin,Yes,No,Fiddle,Yes,2
65,1748,1740,,No,No,Drum,No,1
70,1749,1740,Mando,Yes,No,No,No,1
72,1749,1740,Titus,Yes,No,No,No,1
74,1749,1740,Tony,No,No,Fiddle,No,1
78,1749,1740,George,No,Shoemaker,No,No,1
83,1750,1750,Philip,No,Carpenter,No,No,1
86,1750,1750,Caesar,No,Cooper,No,No,1
89,1751,1750,Tom,No,Shoemaker,Fiddle,Yes,2
95,1752,1750,Sampson,No,Farming,No,No,1
98,1752,1750,Anthony,No,No,Violin,No,1
107,1753,1750,Cuff,Yes,No,No,No,1
109,1753,1750,,No,No,Violin,No,1
112,1754,1750,Joseph,Yes,No,No,No,1
116,1755,1750,Tom,Yes,No,Fiddle,Yes,2
118,1755,1750,Tom,Yes,No,Violin,Yes,2
126,1756,1750,Venture,No,Carpenter,No,No,1
131,1756,1750,Cato,No,No,Fiddle,No,1
136,1756,1750,Titus,Yes,No,No,No,1
144,1756,1750,Tom,Yes,No,Fiddle,Yes,2
145,1757,1750,Joe,No,Farming,Fiddle,Yes,2
148,1757,1750,Ned,Yes,No,No,No,1
151,1757,1750,Jack,No,Weaver,Fiddle,Yes,2
153,1757,1750,Claus,Yes,No,No,No,1
155,1757,1750,Cato,No,Farming,Fiddle,Yes,2
156,1757,1750,,No,Cooper,No,No,1
157,1757,1750,Joe,No,No,Fiddle,No,1
167,1758,1750,York,No,No,Violin,No,1
172,1758,1750,,No,No,Violin,No,1
176,1759,1750,Peter,No,No,Fiddle,No,1
178,1759,1750,Martin,Yes,No,No,No,1
192,1760,1760,Norton,Yes,Carpenter,No,Yes,2
193,1761,1760,Hank,No,Carpenter,No,No,1
194,1761,1760,Mark,No,No,Fiddle,No,1
198,1761,1760,Quaco,No,Cooper,No,No,1
200,1762,1760,Tom,No,No,Fiddle,No,1
202,1762,1760,Charles,Yes,No,Fiddle,Yes,2
203,1762,1760,Harry,Yes,Cooper,No,Yes,2
212,1762,1760,,Yes,Carpenter,No,Yes,2
219,1762,1760,Moses,No,Cooper,No,No,1
226,1763,1760,Titus,Yes,No,Fiddle,Yes,2
227,1763,1760,Thomas,Yes,No,No,No,1
233,1763,1760,,Yes,No,No,No,1
235,1763,1760,Trace,No,No,Violin,No,1
254,1764,1760,Harry,No,No,Fiddle,No,1
258,1764,1760,Toby,Yes,No,Violin,Yes,2
263,1764,1760,,Yes,No,No,No,1
267,1764,1760,Harry,No,Mason,No,No,1
271,1764,1760,,No,Farming,No,No,1
275,1764,1760,Pegg,No,Carpenter,No,No,1
282,1765,1760,,No,Blacksmith,No,No,1
287,1765,1760,Mingo,No,Blacksmith,Fiddle,Yes,2
296,1766,1760,,No,No,Fiddle,No,1
298,1766,1760,Sal,No,Carpenter,No,No,1
