row,date,year,decade,newspaper,name,context,full_content
26,5/10/1736,1736,1730,The New-York Weekly Journal,John,"s of age, is a very good cooper, speaks english, french and dutch and can read and write, had on an iron gray great coat, what other cloath is uncer","Run away, 2d of this instant May a Servant Man named John Watson aged about 40 Years, is a short thick Man, fair Complexion, born near New-Castle on Delaware lately redeemed out of Bergin County Goal by Cornelius Wynkoop and Elizabeth Antony, storekeepers, of the said County, for a Considerable Sum "
30,7/24/1738,1738,1730,The New-York Gazette,Peet,", about 28 years of age, and was born upon long-island and speaks and reads good english. w hoever takes up the said negro and secures him, so tha","Ran Away from John Hunt of Hopewell in the County of Hunterdon and Province of West-New-Jersey, on the 25th Day of this Instant July, a Negro Man named Peet, he had on when he went away, a Gray home-spun Coat with Brass Buttons, and a gadfel Hatt, a Tow Shirt and Breeches, with Shoes and Stockings. "
31,10/2/1738,1738,1730,The New-York Weekly Journal,Jack,"n face, strong bearded and hair longer than negroes commonly have and reads english, he had on when he went away an orange coloured drugget fly co","Run away from Frederick Zepperly of R heinbeck in Dutchess County Black Smith, a copper coloured Negro fellow named Jack, aged about 30 years, speaks nothing but English and has been much used to the Sea, Short of Stature, thin Face, strong bearded and hair longer than Negroes commonly have and read"
33,6/23/1740,1740,1740,The New-York Weekly Journal,James,"ay be soon discover’d; he had on when he went away a homespun coat, thread stockings, and a new pair of pumps. whosoever takes up the said negroe","Run away from Thomas White of Shrewsbury a certain lusty Negroe Fellow named James, he has had his Right Shoulder out and still so which by lifting up his Arm may be soon discover’d; he had on when he went away a Homespun Coat, thread Stockings, and a new pair of Pumps. Whosoever takes up the said N"
34,9/11/1740,1740,1740,The Pennsylvania Gazette (Philadelphia),Sim,"nches long; he was bred and born in this country, talks good english, can read and write, is very slow in his speech, can bleed and draw teeth, pret","Run away on the 23rd past, from Jam es Leonard of Kingston in Middlesex County, East-New-Jersey a Negroe M an named Sim on, aged about 40 years, is a well-set Fellow, about 5 feet 10 inches high, has large Eyes, and a Foot 12 inches long; he was bred and born in this Country, talks good English, can"
60,7/11/1748,1748,1740,"The New-York Gazette, Revived in The Weekly Post-Boy",Jack,"new tow shirts and a fine one, one pair of old trowsers, a pair of thread stockings, one old grey kersey coat, a new homespun duroy coat, a [lin","Run away from Samuel Wickham of Goshen County of Orange, the 5th of June last, a Negro man named Jack, about 22 years of age, 5 feet high, very black, this country born, and speaks good English: Had on when he went away, an old felt hat, two new tow shirts and a fine one, one pair of old trowsers, a"
61,7/11/1748,1748,1740,"The New-York Gazette, Revived in The Weekly Post-Boy",Robbin,"llow, a very short neck and thick legs, about 28, talks good english, can read and write and plays on the fiddle, he was born at dunstable and it is","Run away from his master Eleazer Tyng at Dunstable the 26th of May inst, a Negro Man servant called Robbin, almost the complexion of an Indian, short thick square shouldered fellow, a very short neck and thick legs, about 28, talks good English, can read and write and plays on the fiddle, he was bor"
70,5/1/1749,1749,1740,"The New-York Gazette, Revived in The Weekly Post-Boy",Mando,"car fellow named tom, about 40 years, of a middle size, well set, and can read: we hear he has got a sort of an indenture with him under the pretenc","Run away from Samuel Moore and Francis Bloodgood of Woodbridge, in New-Jersey, two Negro Men; one of which is a lusty young black fellow named Mando, aged about 20 Years; the other a yellow Madagascar Fellow named Tom, about 40 Years, of a Middle size, well set, and can read: We hear he has got a so"
72,6/12/1749,1749,1740,"The New-York Gazette, Revived in The Weekly Post-Boy",Titus,"s, aged about 27 years, near six foot high:— speaks good english, and can read; had on a check flannel shirt, a grey jacket, and a large pair of tro","RUN away on Sunday the 28th of May last, from Thomas Clark, at Little Egg Harbor, a Negro Man named Titus, aged about 27 Years, near Six Foot high:— Speaks good English, and can read; Had on a check Flannel Shirt, a grey Jacket, and a large Pair of Trowsers: He was brought up in Lime, in Connecticut"
107,10/15/1753,1753,1750,"The New-York Gazette: or, The Weekly Post-Boy",Cuff,"white shirts, two pair of middling short tow trowsers, one pair of thread stockings knit in squares, one pair of blue fine wool ditto flowered,","Run away on Sabbath Day evening, Sept. 2, 1753, from his Master Chauncy Graham, of Rumbout, in Dutchess County, a likely Negroe Man named Cuff, about 30 years old, well set, has had the Small Pox, is very black, speaks English pretty well for a Guinea Negroe, and very flippant; he is a plausible smo"
112,4/1/1754,1754,1750,"The New-York Gazette: or, The Weekly Post-Boy",Joseph,"of butter, weighs about 60 pound, two cheeses weighs 64 pounds, and bread for the same. whoever takes up and secures said run-aways, so that the","Run away from George Mumford of Fisher’s-Island, the 27th Instant, four Men Servants, a white Man and Three Negroes, who hath taken a large two-mast Boat, with a square Stern, and a large white Pine Canoe; the Boat’s Timbers are chiefly red Cedar. The White Man named Joseph Heday, says he is a Nativ"
116,3/3/1755,1755,1750,"The New-York Gazette: or, The Weekly Post-Boy",Tom,"inches high, a well set likely fellow, plays well on the fiddle, and can read and write; perhaps he may have a false pass: had on when he went away","Run away from the Heirs of Barent Van Cleek, of Poughkeepsie, deceased on Tuesday the 23rd Instant March, a Mulatto colour’d Man Slave named Tom, pock-broken, about 5 feet 10 inches high, a well set likely Fellow, plays well on the Fiddle, and can read and write; perhaps he may have a false Pass: Ha"
118,6/23/1755,1755,1750,"The New-York Gazette: or, The Weekly Post-Boy",Tom,"e is lusty and well built, full of freckles, talks english and dutch, can read, write, and cypher, play well on the violin: whoever takes up said ne","A Mulatto Negro named Tom, Run away from Joseph Harris, of Beekman’s Precinct, in Duchess County, being the same Fellow formerly advertised, that then belonged to the Heirs of Barent Van Cleek, deceased and a reward offered by Mynder Viele and Leonard Van Cleek, who since sold him to said Harris; he"
136,7/26/1756,1756,1750,"The New-York Gazette: or, The Weekly Post-Boy",Titus,"n jackets, and a heavy jacket lined with red. he is full of talk, and can read and write well. whoever takes up and secures said negro, so that his","Run away on the 15th instant July, from Mrs. Mary Elliston, of the City of New York, a Negro Man named Titus, is a well set fellow, of between 29 and 30 years of age: Had on when he went away, an Olive colour’d Jacket, black Breeches, a Pair of white Stockings, half-worn Pumps: Took with him two hom"
144,12/13/1756,1756,1750,The New-York Gazette: or The Weekly Post-Boy,Tom,"talk good dutch and english, and can play very well upon the fiddle.—can read, write and cypher and has some freckles. he first listed himself in t","Run away from Joseph Harris, of Beekman’s Precinct, in Dutchess County, on the 3rd of September last, a Mulatto Fellow named Tom, about 5 feet eight inches high, is thick and well set, can talk good Dutch and English, and can play very well upon the fiddle.—can read, write and cypher and has some Fr"
148,5/16/1757,1757,1750,"The New-York Gazette: or, The Weekly Post-Boy",Ned,"a new grey kersey coat, a new pair of pumps. the said negro can both read and write, and probably has wrote himself a pass. whoever takes up the said neg","Run away the 25th of April last, from Thomas Robinson of Brookhaven in the County of Suffolk, on Long Island, a negro man named Ned, about 23 years old, he stole a Barge and was seen on the Thursday following in the Sound opposite to Lloyd’s Neck, steering to the Westward. The Barge has lost part of"
153,7/4/1757,1757,1750,"The New-York Gazette: or, The Weekly Post-Boy",Claus,"lusty negro man named claus, about 35 years old, is much pock-broken, can read and write both english and dutch, pretends to cypher, and has a very","Run away from Cornelius Newkerk, a lusty Negro Man named Claus, about 35 years old, is much Pock-broken, can read and write both English and Dutch, pretends to cypher, and has a very heavy Gate. Had on a light colour’d silkCam blet Coat, lin’d with Shalloon, a flow er’d Stuff W aistcoat lin’d with t"
178,7/30/1759,1759,1750,"Parker’s New-York Gazette; or, The Weekly Post-Boy",Martin,"im a pair of check trousers, a pair of black and white stockings, a thread of white and a thread of black twisted together, a pair of grey stocki","RUN-AW AY, On Friday the 18th Day o f M ay, from JAMES I. ROSS of the Nine-Partners in Dutchess-County, a Negro Man Named Dick, but sometimes called Martin, speaks good English and Dutch, about Thirty or Thirty-three years of Age, a middling tall slim Negro; had on when he went away, a woolen check "
192,11/20/1760,1760,1760,"Parker's New-York Gazette; or, The Weekly Post-Boy",Norton,"is about five feet eight inches high, aged about 37, speaks english, reads and writes, and is a very sensible fellow.","Forty Dollars reward and all reasonable charges shall be paid to any person that secures and brings to William Kelly of the City of New York, merchant, a negro man named Norton Minors who ran away from his masters, Messrs. Bodkin and Farrall on the Island of St. Croix, on the first Day of July last;"
202,4/29/1762,1762,1760,"Parker’s New-York Gazette; or, The Weekly Post-Boy",Charles,"nces to conceal villanous actions or designs. he plays on the fiddle, can read and write tolerably well, and understands a little of arithmetic and","Five pounds reward, run away on Monday the 12th instant from me the subscriber, a Mulatto Servant man named Charles, and known by the name of Charles Roberts, or German. He is a likely well set Fellow, 28 or 30 years of age, and about 5 feet 6 inches high, and has had the SmallPox. He has a Variety "
203,7/1/1762,1762,1760,"The Pennsylvania Journal, and the Weekly Advertiser (Philadelphia)",Harry,"ry, he appears to be about 20 years of age, speaks low but proper and can read english, is about 5 feet 9 inches high, and slender made, stoops a li","July 1, 1762 Run-away from Moore Furman of Trenton on Saturday last, a Negro Man named Harry, he appears to be about 20 years of age, speaks low but proper and can read English, is about 5 feet 9 inches high, and slender made, stoops a little, or rather hangs his Head looks down and suspicious when "
212,9/30/1762,1762,1760,"The New-York Gazette; or, The Weekly Post-Boy",,"y us duca, he is a yellow complexion, being a mixed breed, speaks and reads pretty good low dutch, and speaks little english: is a very good black","Tappan, Sept. 26, 1762. RUN away last Sunday Evening, from his Master, in Orange County, Johannes Blauveldt, Blacksmith, a Negro Fellow, named as he says, Adonia, but by us Duca, he is a yellow Complexion, being a mixed Breed, speaks and reads pretty good Low Dutch, and speaks little English: is a v"
226,7/14/1763,1763,1760,The New-York Gazette; or The Weekly Post-Boy,Titus,"run away from colonel john read of fairfield in connecticut, two mulatto fellows, one named titus, age","Run away from Colonel John Read of Fairfield in Connecticut, two mulatto fellows, one named Titus, aged 22, of a middling Stature, longish visage, pale or tawny Complection his hair cut off, plays well on the fiddle, and had one with him, had on a Blue Flannel Coat and pewter buttons, a brown Camble"
227,7/18/1763,1763,1760,The New-York Gazette (Weyman’s),Thomas,"s of age, five feet high, of a slender make, bom in this country, and can read and write.","Whereas Isaac Johnson, formerly of the City of New-York, shop-keeper, but late of the Nevesinks, deceased, did by his Will, set at Liberty a Mollatto slave, called Thomas Jackson, and provided Security to render his Manumission effectual; but the Bond for that purpose hath been Destroyed, and an unj"
233,8/25/1763,1763,1760,"The New-York Gazette; or, The Weekly Post-Boy",,"on when he went away, a red coat, a manchester velvet jacket, white thread stockings, and new shoes.—whoever brings him to his said master at new","New-Y ork, August 14, 1763. TW ENTY DOLLARS REWARD, RUN away from John Leake, a Negro Man nam ’d Wall, about 40 Years of Age, five Feet six Inches high, yellowish Complection, one Leg a little thicker than the other, his Head bald, born at Oyster Bay, speaks good English; had on when he went away, a"
258,5/31/1764,1764,1760,The Pennsylvania Gazette (Philadelphia),Toby,"a, to joseph staniard and to john cox of upper freehold aforesaid; he can write and read, understands planation business; he is old than the other an","Runaway from the subscriber living in Upper-Freehold, Monmouth County, West-New-Jersey, on the 21st of this Inst. May two Negroe Men, one named Toby, a well-set fellow about 21 or 22 years of age, 5 feet 5 or 6 inches high, of a pleasant Countenance for a negroe, shews his Teeth frequently, which ar"
263,8/9/1764,1764,1760,The Pennsylvania Gazette (Philadelphia),,"the sea, and no doubt will endeavour to pass for a free negroe as he can write any pass he thinks necessary. whoever takes up the said negro and con","Run away from Dr. Bern Budd, of Hanover, in Morris County, East New-Jersey, a likely well set Negroe Man, about 5 feet 9 or 10 inches high, of a yellow Complexion: Had on when he went away, a blue Broadcloth Coat, with Tortoise-Shell Buttons, a double breasted Broadcloth Jacket, with Mohair Buttons "
