Newspaper Name,Issue No,Date ,Content
The Boston Newsletter,641,7/23/1716,"This is to give notice that on the 16th of July, 1716, Runaway from his Master, David Lyell, an Indian Man named Nim, he lately belonged to Mr. James Moore, he is about one and twenty years of Age and is a short broad shouldered Fellow his hair hath lately been cut off, he has a swelling on the back of his right hand, and can do something in the Carpenters trade, he hath with him two new shirts, a new wastecoat, and breeches of white course linnen, and the same of blew striped; a homespun Coat, wears a Hat, Shoes, stockings. ’Tis believed he endeavours to get on board some Vessel. Whoever takes up the said Indian in the Jerseys, and brings him to his said Master shall have forty shillings and charges and if in any other government Five pounds if they give but notice where his is, so that his Master may have him again. Direct to David Lyell in NewYork or at Amboy in New-Jersey."
The American Weekly Mercury (Philadelphia),153,11/15/1722,"Runaway from William Yard of Trenton in West-Jersey, the Fifth Day of this Instant November, a Negroe Man named Fransh Manuel, but commonly called Manuel, of a pretty tall stature, and speaks indifferent English. He wears a dark coloured homespun coat, an Ozenbrig Jacket, old Leather breeches, Sheep-russet Stockings, new Shoes and an old Beveret hat. He pretended formerly to be a Freeman and had Passes; but he did belong to one John Raymond of Fairfield in New England and I bought him of said Raymond. And the said Negro boy has told since he has run away, That he found a Quantity of Ore for his Master, and that his Master had given him Free. Whoever takes up the said Negroe, secures him and brings him to Mr. William Bradford of New York, or to Mr. William Burge of Philadelphia or to his said Master at Trenton, shall have forty shillings Reward, beside all reasonable charges, paid by me, William Yard."
The American Weekly Mercury (Philadelphia),190,8/1/1723,"Runaway about the 15th of June last, from Gabriel Stelle of Shrewsbury, an Negro Man named Jack, of small stature, he had on an Osenbrigs shirt and a woollen shirt, a pair of Leather Breeches, a dark homespun Jacket, a dark Cloase bodied fashionable Coat with a brown Kersey Great-Coat, an Old Beaver hat, a pair of square toed shoes with wooden heels, he is a Madagascar Negro. Whoever takes up the said Negro and brings him to his said Master or to Issac Stelle in Allens Town, shall have two Pistoles as a Reward besides Reasonable Charges."
The American Weekly Mercury (Philadelphia),239,7/9/1724,"Second River, June 30, 1762. Run away from his Master a negro man named Frank, tall, slim, had on when he went away; a Tow shirt and Trousers, bare foot and bare legged, has a Scar on his Upper Lip, from his Nose downwards: Whoever takes up the said negro, and secures him, so that his Master may have him again shall have Forty Shillings reward, and all reasonable charges paid by John Kingsland."
The American Weekly Mercury (Philadelphia),249,9/17/1724,"Runaway from the Plantation of Cornelius Van Horne on Rariton River a Malisgasco Negroe Man, named Tom, he is a black likely fellow, pretty Tall, a grave Look, has on a Homespun brown jacket, and lined the same, has brass Buttons. Whoever takes up the said Negroe and delivers him to his said M aster Cornelius Van Horne, in New York or in Amboy goal, shall have Three Pounds as a Reward plus reasonable charges."
The American Weekly Mercury (Philadelphia),343,7/14/1726,"Notice is hereby given, That there is come to the House of John Leonards at south River Bridge, near Amboy, in the Eastern Division of the Province of New Jersey, a Negroe Man, who was forced to the said House for want of Sustenance; he is a middle sized Man, talks no English or feigns that he cannot, he calls himself PoPaw, his teeth seem to be Fil’d or Whet Sharp; he will not tell his Masters Name. Whoever Ownes the said Negroe may have him from the said Leonard on coming or sending for, paying according to Reward (if any be) or if not, according to the Laws of this Province and also reasonably for his Diet ’till fetched."
The American Weekly Mercury (Philadelphia),378,4/6/1727,"There is in custody of William Nichols, Esq; High Sheriff of the County of Monmouth, a likely young Negroe man about 24 years old; he calls himself James, speaks little English and can given no account where he came from or who he belongs to. Any person that owns said Negro paying Charges may have him."
The American Weekly Mercury (Philadelphia),386,6/1/1727,"Run Away the 21st Day of May last, from James Leonard of Somerset in New Jersey, a Negroe Man named Will, aged about 26 years and has with him an old Lightish color’d Great Coat and Leather Breeches, and two Shirts and old pair of black and white Stockings and ’tis supposed that he has a Gun with him, he speaks good English. Whoever takes up the said Negroe and secures him so that his said Master may have him shall be well Rewarded, by said James Leonard."
The American Weekly Mercury (Philadelphia),487,5/1/1729,"These are to be given Notice that on the First Day of this Instant May, 1729, was taken up a Negroeman, about fortythree Years of Age and put into the Gaol at Burlington, for Stealing from Several persons sundry sorts of Goods; the Negroe Man saith he belongs to one Roger Mathews living in Baltimore County in Maryland, brother-in-law to one Edward Hall. N.B. The said Negroe man formerly belonged to Governeur Markham and was sold down at Maryland by Mr. Reneir, Attorney at Law."
The American Weekly Mercury (Philadelphia),511,10/16/1729,"Burlington, October 20, 1729. Broke out of the Gaol at Burlington, the 20th Day of October, Two Men. One named Aristoblus Christopher, about Thirty years of age, of a Swarthy Complexion, thick Brown Hair, about five feet and eight Inches high, Shipwright by Trade. The other a Malato and goes by the name of Malato John, about Forty Years of age about six Feet and two Inches high and well set, and smooth Fac’d, short Brown Hair, he pretends to be a Housecarpenter by Trade. Whosoever takes up the said Persons or either of them and bring them to Burlington shall have Forty Shillings Reward for Each and Reasonable charges paid by Thomas Hunlock."
The New-York Gazette,238,5/18/1730,"Ran Away, a Negro Man named Quash, from his master Cornelius DePeyster of New York City. The said Negro has thick lips, and has lost a foretooth. Whoever can take up said negro man and bring him to his Master, or secure him and give Notice, so that his Master can get him again, shall have forty shillings reward and all reasonable Charges."
The New-York Gazette,239,5/25/1730,"Run away from Soloman Bates o f Elizabeth-Town a Negroe man named Clause, aged about 27 years old, has got with him a Homespun Coat of Linen and Wool, with Brass Buttons, an Ozenbrig Vest with black Buttons and Button­ holes, and an old striped vest, Leather Breeches, new homespun Worsted Stockings, black shoes with Buckles, he has a Hat and Cap and he can play upon the Fiddle and speaks English and Dutch. Whoever can take up the said Negroe and bring him to his said Master, or secure him and give Notice, so that his Master can have him again, shall have reasonable satisfaction besides all reasonable charges."
The New-York Gazette,253,8/31/1730,"Run Away last Tuesday two Negro Men, both branded RN on their shoulders; one remarkably scarrified over the forehead, clothed with trousers, The other with a coat and trousers. Whoever brings the said Negroes to Jason Vaughn in New-York, shall have thirty shillings and all reasonable charges paid."
The New-York Gazette,329,1/30/1732,"Run away about 10 o ’clock Thursday last, from John Cannon, New York City, three Negroes with a sloop belonging to said Cannon, burthen about 35 tons. W hoever takes up and returns said Negroe Men and the Sloop shall receive Twenty Pounds and all reasonable Charges from John Cannon."
The New-York Gazette,342,5/8/1732,"Run Away from Solomon Baites of Elizabeth Town in NewJersey, a Negro Man named Clauss, about 28 years old, but he sometimes calls himself Nicolas, he formerly belonged to Daniel Bagley. He has taken with him a grey Home spun Drugget Coat trim’d with Black, a homespun Kearsey Vest, a Pair of Leather Breeches with red Puffs and Shoes and Stockings, he can play on a Fiddle tolerable well, He is of a middle Stature. Whoever takes up the said Negro and give Notice, so that his Master can have him again, shall have a reasonable reward besides reasonable Charge. And all persons are hereby forbid to entertain said Negro as they will answer at the utmost Severity of the Law."
